pid,h2,h3,strong,p,cpt,t.1,p.1,speaker.d,t.3,t.2,t.4,t.5,t.c
1,NA,NA,החמודה,לשושי ,לשושי החמודה,,NA,NA,,NA,NA,"<html><head><meta charset=""utf-8""/><title>אדם  בלי  שם: דרמה  בשתי  מערכות  ואפילוג</title><meta name=""author"" content=""יגאל מוסינזון""/></head><body>","<html><head><meta charset=""utf-8""/><title>אדם  בלי  שם: דרמה  בשתי  מערכות  ואפילוג</title><meta name=""author"" content=""יגאל מוסינזון""/></head><body>"
2,NA,NA,NA,NA,לבית אביגל,,NA,NA,,NA,NA,"<front>לשושי החמודהלבית אביגלמאת מחבר חסמבההסופריגאל מוסינזון19.11.87
הזמן: ההווה. המקום: מדינת ישראל בעיר התחתית בחיפה
הנפשות:</front>","<text><front>לשושי החמודהלבית אביגלמאת מחבר חסמבההסופריגאל מוסינזון19.11.87
הזמן: ההווה. המקום: מדינת ישראל בעיר התחתית בחיפה
הנפשות:</front>"
3,NA,NA,חסמבה,מאת מחבר ,מאת מחבר חסמבה,,NA,NA,,NA,NA,NA,NA
4,NA,NA,NA,NA,הסופר,,NA,NA,,NA,NA,NA,NA
5,NA,NA,NA,NA,יגאל מוסינזון,,NA,NA,,NA,NA,NA,NA
6,NA,NA,NA,NA,19.11.87,,NA,NA,,NA,NA,NA,NA
7,NA,NA,NA,NA,"
",,NA,NA,,NA,NA,NA,NA
8,NA,NA,NA,NA,הזמן: ההווה. המקום: מדינת ישראל בעיר התחתית בחיפה,,NA,NA,,NA,NA,NA,NA
9,NA,NA,NA,NA,"
",,NA,NA,,NA,NA,NA,NA
10,NA,NA,הנפשות:,,הנפשות:,,NA,NA,,NA,"<div type=""Dramatis Personae""><castList><head>הנפשות:</head><castItem>מירקין – בעל מלון בעיר התחתית בחיפה</castItem><castItem>מירי – בתו</castItem><castItem>ד""ר גרי – רופא</castItem><castItem>חנה – אשתו</castItem><castItem>ראובן – בנם</castItem><castItem>בלנק – שוער המלון</castItem><castItem>ברלה – גזבר קבוצה קטנה, המתארח במלון.</castItem><castItem>דיאמנט – יוצא מחנה המות זורין.</castItem><castItem>קלרה – פלגשו.</castItem></castList></div>",NA,"<div type=""Dramatis Personae""><castList><head>הנפשות:</head><castItem>מירקין – בעל מלון בעיר התחתית בחיפה</castItem><castItem>מירי – בתו</castItem><castItem>ד""ר גרי – רופא</castItem><castItem>חנה – אשתו</castItem><castItem>ראובן – בנם</castItem><castItem>בלנק – שוער המלון</castItem><castItem>ברלה – גזבר קבוצה קטנה, המתארח במלון.</castItem><castItem>דיאמנט – יוצא מחנה המות זורין.</castItem><castItem>קלרה – פלגשו.</castItem></castList></div>"
11,NA,NA,NA,NA,מירקין – בעל מלון בעיר התחתית בחיפה,,NA,NA,,NA,NA,NA,NA
12,NA,NA,NA,NA,מירי – בתו,,NA,NA,,NA,NA,NA,NA
13,NA,NA,NA,NA,"ד""ר גרי – רופא",,NA,NA,,NA,NA,NA,NA
14,NA,NA,NA,NA,חנה – אשתו,,NA,NA,,NA,NA,NA,NA
15,NA,NA,NA,NA,ראובן – בנם,,NA,NA,,NA,NA,NA,NA
